GCA_014378125.1,60,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla,Vitreoscilla sp.,
GCA_003697185.1,269660,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium brachiatum,
GCA_020523825.1,269660,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium brachiatum,
GCA_900113845.1,269660,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium brachiatum,
GCA_000800015.1,278961,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus sp. TAA 43,
GCA_012273735.1,279113,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,Collimonas pratensis,
GCA_015356825.1,280293,Bacteria,Actinobacteria,Actinomycetia,Catenulisporales,Catenulisporaceae,Catenulispora,Catenulispora rubra,
GCA_018130215.1,280332,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium jicamae,
GCA_018130695.1,280332,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium jicamae,
GCA_018131115.1,280332,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium jicamae,
GCA_901827165.1,282217,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax sp. SRS16,
GCA_019359245.1,287862,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,Nostoc desertorum CM1-VF14
GCA_019359215.1,287863,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,Nostoc indistinguendum,Nostoc indistinguendum CM1-VF10
GCA_903827735.1,290594,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,uncultured Rhodanobacter sp.,
GCA_903861525.1,290594,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,uncultured Rhodanobacter sp.,
GCA_903887785.1,290594,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,uncultured Rhodanobacter sp.,
GCA_002101635.1,292462,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium florentinum,
GCA_903844135.1,296830,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,uncultured Rhodospirillales bacterium,
GCA_903876475.1,296830,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,uncultured Rhodospirillales bacterium,
GCA_903922595.1,296830,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,uncultured Rhodospirillales bacterium,
GCA_903822505.1,310091,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rhodopila,uncultured Rhodopila sp.,
GCA_903851415.1,310091,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rhodopila,uncultured Rhodopila sp.,
GCA_903906655.1,310091,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rhodopila,uncultured Rhodopila sp.,
GCA_903915215.1,310091,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rhodopila,uncultured Rhodopila sp.,
GCA_021154785.1,310350,Bacteria,Actinobacteria,Actinomycetia,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,Nocardiopsis sp.,
GCA_900107965.1,310779,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces yanglinensis,
GCA_900142575.1,310782,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces paucisporeus,
GCA_016128195.1,311231,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia ginsengisoli,
GCA_018130505.1,312253,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium tropiciagri,
GCA_016219585.1,318424,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium rufum,
GCA_001643175.1,321318,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Dietzia,Dietzia cinnamea,
GCA_004346635.1,321318,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Dietzia,Dietzia cinnamea,
GCA_016905945.1,321318,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Dietzia,Dietzia cinnamea,
GCA_001544475.2,326474,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia humi,
GCA_001544495.2,326475,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia telluris,
GCA_001544535.2,326476,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia choica,
GCA_903916755.1,333967,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,,uncultured Opitutaceae bacterium,
GCA_021398735.1,334852,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium oryzae,
GCA_001677255.1,336810,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,Candidatus Sulcia,Candidatus Sulcia muelleri,
GCA_014395225.1,336820,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter roseus,
GCA_903879635.1,338954,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Paracraurococcus,uncultured Paracraurococcus sp.,
GCA_001189965.1,346179,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Herbaspirillum rhizosphaerae,
GCA_002127535.1,351656,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,Xenorhabdus vietnamensis,
GCA_900155965.1,354630,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter lappiensis,
GCA_000830005.1,362257,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces vietnamensis,
GCA_004365965.1,364297,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodovulum,Rhodovulum visakhapatnamense,
GCA_016757035.1,364297,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodovulum,Rhodovulum visakhapatnamense,
GCA_016757175.1,364297,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodovulum,Rhodovulum visakhapatnamense,
GCA_022179585.1,374432,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium tardum,
GCA_002006545.1,380021,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas protegens,
GCA_003634555.1,386892,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Frondihabitans,Frondihabitans australicus,
GCA_004217555.1,388466,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Edaphobacter modestus,
GCA_014197915.1,390880,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Roseospira,Roseospira visakhapatnamensis,
GCA_900105625.1,392734,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus roseus,
GCA_903837135.1,395523,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,,,uncultured Caulobacterales bacterium,
GCA_903875975.1,395523,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,,,uncultured Caulobacterales bacterium,
GCA_903882015.1,395523,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,,,uncultured Caulobacterales bacterium,
GCA_000720335.1,397278,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Marmoricola,Marmoricola aequoreus,
GCA_000020125.1,398527,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia phytofirmans,Paraburkholderia phytofirmans PsJN
GCA_000179915.2,401053,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus saanensis,Terriglobus saanensis SP1PR4
GCA_006715055.1,402171,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Lapillicoccus,Lapillicoccus jejuensis,
GCA_900113465.1,418223,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium phyllosphaerae,
GCA_002289535.1,418599,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. UFLA03-84,
GCA_903970205.1,418856,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Sinobacteraceae,Nevskia,Nevskia soli,
GCA_902833525.1,420952,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia bryophila,
GCA_901827185.1,434014,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax sp. PBL-E5,
GCA_000719095.1,436229,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus jeojiense,
GCA_009811355.1,436515,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax boronicumulans,
GCA_019352895.1,436515,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax boronicumulans,
GCA_000737705.1,445961,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium soli,
GCA_001712795.1,457944,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,Nostoc sp. KVJ20,
GCA_022606305.1,458836,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia sediminicola,
GCA_001067555.1,470934,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea vagans,
GCA_006517455.1,472059,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Schumannella,Schumannella luteola,
GCA_014203275.1,474949,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella aggregans,
GCA_900114625.1,474950,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella pectinivorans,
GCA_900188085.1,474952,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella rosea,
GCA_000306785.1,477641,Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Modestobacter,Modestobacter marinus,
GCA_000504285.1,479430,Bacteria,Actinobacteria,Actinomycetia,Catenulisporales,Actinospicaceae,Actinospica,Actinospica robiniae,Actinospica robiniae DSM 44927
GCA_000024025.1,479433,Bacteria,Actinobacteria,Actinomycetia,Catenulisporales,Catenulisporaceae,Catenulispora,Catenulispora acidiphila,Catenulispora acidiphila DSM 44928
GCA_019201165.1,487885,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris,Xanthomonas campestris pv. pennamericanum
GCA_020783715.1,487886,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris,Xanthomonas campestris pv. phormiicola
GCA_003050685.1,487909,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas translucens,Xanthomonas translucens pv. undulosa
GCA_017301815.1,487909,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas translucens,Xanthomonas translucens pv. undulosa
GCA_007970665.1,496014,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Baekduiaceae,Baekduia,Baekduia soli,
GCA_001612705.2,515393,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas yamanorum,
GCA_013386985.1,515393,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas yamanorum,
GCA_019192825.1,515393,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas yamanorum,
GCA_008123515.1,515489,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium cytisi,
GCA_008123425.1,515499,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium rifense,
GCA_003967355.1,516124,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Embleya,Embleya hyalina,
GCA_000721705.1,543632,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes subtropicus,
GCA_900105785.1,546874,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Microlunatus,Microlunatus sagamiharensis,
GCA_002104765.1,547163,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium vulneris,
GCA_000239795.2,551936,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. STM 3809,
GCA_000239815.2,551947,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. STM 3843,
GCA_900100945.1,551996,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter gossypii,
GCA_008806385.1,553447,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium soli,
GCA_000285635.1,557855,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Mitsuaria,Mitsuaria sp. H24L5A,
GCA_003205575.1,565073,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces tateyamensis,
GCA_000239775.2,566679,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. ORS 375,
GCA_003945235.1,570835,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Edaphobacter aggregans,
GCA_018332695.1,571911,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes toevensis,
GCA_016862435.1,571912,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes tereljensis,
GCA_003610915.1,574964,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rahnella,Rahnella variigena,
GCA_011762195.1,575322,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas oligoaromativorans,
GCA_022430545.1,577492,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium paraterrae,
GCA_904848625.1,580937,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia metrosideri,
GCA_900114535.1,582667,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium pseudosasicola,
GCA_900103445.1,582672,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium phyllostachyos,
GCA_019192685.1,587753,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas chlororaphis,
GCA_004364555.1,595671,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Amnibacterium,Amnibacterium kyonggiense,
GCA_902859895.1,621374,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pararobbsia,Pararobbsia alpina,
GCA_006716445.1,630975,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia kunmingensis,
GCA_000196615.1,634500,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Erwinia billingiae,Erwinia billingiae Eb661
GCA_003062295.1,634784,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium algeriense,
GCA_900104965.1,642780,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Marmoricola,Marmoricola scoriae,
GCA_900105165.1,652787,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter mallensis,
GCA_007830615.1,652788,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter frigoritolerans,
GCA_006439055.1,658225,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas glacialis,
GCA_014653575.1,658225,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas glacialis,
GCA_900112365.1,662367,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,Spirosoma endophyticum,
GCA_000178955.2,682795,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella mallensis,Granulicella mallensis MP5ACTX8
GCA_000383095.1,685778,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. PR090111-T3T-6A,
GCA_000757795.1,693986,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium oryzae,Methylobacterium oryzae CBMB20
GCA_006438915.1,702115,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas arsenicoxydans,
GCA_001440475.1,722472,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium lablabi,
GCA_018129385.1,722472,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium lablabi,
GCA_900104755.1,722472,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium lablabi,
GCA_900141755.1,722472,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium lablabi,
GCA_900142345.1,722472,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium lablabi,
GCA_003254375.1,739141,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium sp. XJLW,
GCA_000292795.1,743713,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,Pseudomonas fluorescens R124
GCA_000214075.2,756067,Bacteria,Cyanobacteria,,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus,Microcoleus vaginatus FGP-2
GCA_900114705.1,758825,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Rugamonas,Rugamonas rubra,
GCA_022179385.1,767694,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium longum,
GCA_002101815.1,767916,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium paraense,
GCA_002101825.1,767916,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium paraense,
GCA_002102305.1,767916,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium paraense,
GCA_903834965.1,797541,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,uncultured Mucilaginibacter sp.,
GCA_903915155.1,797541,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,uncultured Mucilaginibacter sp.,
GCA_009930815.1,858422,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. CCBAU 051011,
GCA_900108185.1,863522,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Bryocella,Bryocella elongata,
GCA_014204895.1,882441,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes abujensis,
GCA_903865915.1,904984,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Schlesneria,uncultured Schlesneria sp.,
GCA_000364445.2,908290,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium mesophilicum,Methylobacterium mesophilicum SR1.6/6
GCA_001028175.1,908627,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia mineralivorans,Caballeronia mineralivorans PML1(12)
GCA_000186325.2,910954,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Dietzia,Dietzia cinnamea,Dietzia cinnamea P4
GCA_000325705.1,926556,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,Echinicola vietnamensis,Echinicola vietnamensis DSM 17526
GCA_000265425.1,926566,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus roseus,Terriglobus roseus DSM 18391
GCA_013361095.1,927669,Bacteria,Cyanobacteria,,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena biceps,
GCA_002278135.2,931866,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium ottawaense,
GCA_022179125.1,932741,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium cerastii,
GCA_013170845.1,935548,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium loti,Mesorhizobium loti R88b
GCA_013410065.1,940613,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella arctica,
GCA_014203225.1,940614,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella mallensis,
GCA_000204545.1,941258,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Nasonia vitripennis,Wolbachia endosymbiont wVitB of Nasonia vitripennis
GCA_013359755.1,943830,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Tardiphaga,Tardiphaga robiniae,
GCA_014189415.1,943830,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Tardiphaga,Tardiphaga robiniae,
GCA_018129685.1,989370,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium manausense,
GCA_022179645.1,1003091,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium thuringiense,
GCA_022179685.1,1003092,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium trifolii,
GCA_000284655.1,1005043,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Regiella,Candidatus Regiella insecticola,Candidatus Regiella insecticola 5.15
GCA_900110855.1,1036181,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Microlunatus,Microlunatus flavus,
GCA_900215205.1,1036182,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes atraurantiacus,
GCA_000379585.1,1038866,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. WSM2793,
GCA_000472785.1,1040982,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium loti,Mesorhizobium loti CJ3sym
GCA_900491935.1,1052259,Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Klenkia,Klenkia terrae,
GCA_000472745.1,1079467,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium japonicum,Bradyrhizobium japonicum USDA 38
GCA_900104535.1,1090615,Bacteria,Actinobacteria,Actinomycetia,Nakamurellales,Nakamurellaceae,Nakamurella,Nakamurella panacisegetis,
GCA_000272495.1,1096546,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium sp. GXF4,
GCA_000251145.2,1112213,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. PAMC 26621,
GCA_000241485.1,1112214,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. PAMC 26605,
